,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
169,Beatriz  Lopez-Ibañez,1993,Universitat Politècnica de Catalunya,Spain,Learning and Generation of Plans for Expert Systems,68—Computer science,1,['Enric  Plaza'],2,"['Montaner, Miquel', 'Murillo-Espinar, Javier']"
170,Domingo  López Rodríguez,2007,Universidad de Málaga,Spain,Enfriamiento Funcional para Optimización. Fundamentos Teóricos y Aplicación a las Redes Neuronales,68—Computer science,1,['Enrique  Mérida-Casermeiro'],0,[]
171,Ezequiel  López Rubio,2002,Universidad de Málaga,Spain,Nuevos modelos de redes autoorganizadas con aplicación al reconocimiento de patrones y al procesamiento de imágenes,68—Computer science,1,['José  Muñoz Pérez'],1,"['Thurnhofer Hemsi, Karl']"
172,Maite  Lopez-Sanchez,1999,Universidad Autónoma de Barcelona,Spain,Approaches to Map Generation by Means of Collaborative Autonomous Robots,68—Computer science,1,['Ramon  Lopez de Mantaras'],3,"['Almajano, Pablo', 'Campos, Jordi', 'Morales, Javier']"
173,Joan Albert  López-Vallverdú,2012,Universitat Rovira i Virgili,Spain,Knowledge-Based Incremental Induction of Clinical Algorithms,68—Computer science,1,['David  Riano'],0,[]
174,Salvador  Lucas-Alba,1998,Universitat Politècnica de València,Spain,Rewriting with Replacement Restrictions,68—Computer science,1,['María  Alpuente'],1,"['Escobar, Santiago']"
175,Luis Felipe Macías-Ramos,2016,Universidad de Sevilla,Spain,Developing efficient simulators for cell machines,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Luis  Valencia-Cabrera']",0,[]
176,Nicolás  Madrid-Labrador,2011,Universidad de Málaga,Spain,Inconsistency measures and existence of fuzzy stable models in the residuated framework,68—Computer science,1,['Manuel  Ojeda-Aciego'],0,[]
177,Nikolaos  Makriyannis,2016,Universitat Pompeu Fabra,Spain,Fairness in Secure Computation,68—Computer science,1,['Vanesa  Daza'],0,[]
178,José Miguel José M. Mantas,2003,Universidad de Granada,Spain,Component-Based Development of Differential Equation Solvers for Multicomputers,68—Computer science,2,"['José Antonio  Carrillo', 'Julio  Ortega Lopera']",1,"['Schneider, Ricarda']"
179,Francisco  Martin,2004,Universitat Politècnica de Catalunya,Spain,"Case-Based Sequence Analysis in Dynamic, Imprecise, and Adversarial Domains",68—Computer science,1,['Enric  Plaza'],0,[]
180,Mario  Martin,1998,Universitat Politècnica de Catalunya,Spain,Reinforcement Learning for Embedded Agents Facing Complex Tasks,68—Computer science,1,['Ulises  Cortés'],1,"['Esposito, Gennaro']"
181,Cristian  Martín,2011,University of the Basque Country,Spain,The Omega Failure Detector in the Crash-Recovery Model,68—Computer science,1,['Mikel  Larrea'],0,[]
182,Conrado  Martinez,1992,Universitat Politècnica de Catalunya,Spain,Statistics under the BST Model,68—Computer science,1,['Rafael  Casas'],5,"['Duch, Amalia', 'Helmi, Ahmed', 'Lau Laynes-Lozada, Gustavo', 'Molinero Albareda, Xavier', 'Roura, Salvador']"
183,Álvaro  Martínez,2014,Universidad de Oviedo,Spain,Monitorización del estado de flotas de motores usando análisis inteligente de datos para información intervalo-valorada y posibilística,68—Computer science,2,"['Luciano  Sánchez', 'Inés  Couso']",0,[]
184,Antoni  Martínez-Ballesté,2004,Universitat Rovira i Virgili and Universitat Politècnica de Catalunya,Spain,Real-Time Pay-per-view of Protected Multimedia Content,68—Computer science,2,"['Josep  Domingo-Ferrer', 'Miquel  Soriano']",0,[]
185,Miguel Ángel  Martínez del Amor,2013,Universidad de Sevilla,Spain,"Accelerating membrane system simulators by using High Performance Computing
with GPU",68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Ignacio  Pérez Hurtado']",1,"['Garcia-Quismondo, Manuel']"
186,Rafael  Martínez Díaz,2015,Universitat Politècnica de València,Spain,"Análisis, propuesta y desarrollo de técnicas de medición objetiva en imágenes 123/-mIBG, para pacientes con neuroblastoma",68—Computer science,2,"['Luis Manuel  Sánchez Ruiz', 'Guillermo  Perís Fajarnés']",0,[]
187,Sergio  Martínez-Lluís,2013,Universitat Rovira i Virgili,Spain,,68—Computer science,2,"['Aida  Valls', 'David  Sánchez']",0,[]
188,Antonio David Masegosa-Arredondo,2010,Universidad de Granada,Spain,Cooperative Methods in Optimisation: Analysis and Results,68—Computer science,2,"['David Alejandro Pelta', 'Jose Luis  Verdegay']",0,[]
189,José Luis Melús Moreno,1987,Universitat Politècnica de Catalunya,Spain,Contribución a la evaluación de sistemas multiprocesadores debilmente acoplados basados en microprocesador,68—Computer science,1,['Emilio  Sanvicente'],1,"['Soriano Ibáñez, Miquel']"
190,Ernestina  Menasalvas Ruiz,1998,Universidad Politécnica de Madrid,Spain,Integracion del Processo de Inferencia de Conocimiento Con Los Sistemas  de Datos Relacionales: Formalizacion Matematica de la Fase de Analisis (Integration of Rule Generation Phase of the Knowledge Discovery Process with the Relational Base Management Systems. A  Mathematical Formalization),68—Computer science,2,"['Cavadonga  Fernandez Baizan', 'Anita  Wasilewska']",0,[]
191,Edison Fernando Mera Menéndez,2010,Universidad Politécnica de Madrid,Spain,"Un Marco Unificado para Análisis de Recursos y Tiempo de Ejecución, Validación Dinámica y Pruebas Unitarias",68—Computer science,1,['Pedro  López García'],0,[]
192,Robert George Mercas,2010,Universitat Rovira i Virgili,Spain,Repetitions in Partial Words,68—Computer science,1,['Francine  Blanchet-Sadri'],1,"['Hutchinson, Laura']"
193,Pedro  Meseguer,1992,Universitat Politècnica de Catalunya,Spain,Validation of Multi-Level Rule-Based Expert Systems,68—Computer science,1,['Ramon  Lopez de Mantaras'],6,"['Brito, Ismel', 'Gutierrez Faxas, Patricia', 'Hernandez, Carlos', 'Larrosa, Javier', 'Pujol, Marc', 'Sánchez, Martí']"
194,Miquel  Montaner,2003,Universitat de Girona,Spain,Collaborative Recommender Agents Based on Case-Based Reasoning and Trust,68—Computer science,1,['Beatriz  Lopez-Ibañez'],0,[]
195,Nelson  Monzón López,2017,Universidad de Las Palmas de Gran Canaria,Spain,Accurate Estimation of the Objetct Motion in Image Sequences,68—Computer science,2,"['Javier  Sánchez', 'Agustín Javier Salgado de la Nuez']",0,[]
196,Rafael  Morales-Bueno,1991,Universidad de Málaga,Spain,Calculabilidad difusa mediante gramáticas. Diseño de un lenguaje imperativo de programación difusa.,68—Computer science,2,"['Buenaventura  Clares', 'Francisco A. Triguero Ruiz']",6,"['Baena-García, Manuel', 'Carmona-Cejudo, José M.', 'del-Campo, José', 'Fortes, Inmaculada', 'Ramos, Gonzalo', 'Triviño, José-Luis']"
197,Francisco  Morán,2001,Universidad Politécnica de Madrid,Spain,MODELADO JERÁRQUICO DE OBJETOS 3D CON SUPERFICIES DE SUBDIVISIÓN,68—Computer science,1,['Narciso  García'],0,[]
198,Antonio  Moreno,2000,Universitat Politècnica de Catalunya,Spain,Modelling Rational Inquiry in Non-Ideal Agents,68—Computer science,2,"['Ulises  Cortés', 'Ton  Sales Porta']",7,"['Abdel-Nasser, Mohamed', 'Borràs, Joan', 'de la Riva Fernández, Sofía', 'Isern, David', 'Marin, Lucas', 'Sanchez, David', 'Vicient, Carlos']"
199,Ginés  Moreno,2000,Universitat Politècnica de València,Spain,Reglas y Estrategias de Transformación para Programas Lógico Funcionales,68—Computer science,2,"['María  Alpuente', 'German  Vidal']",0,[]
200,Laureano  Moro-Velázquez,2018,Universidad Politécnica de Madrid,Spain,"Towards the differential evaluation of Parkinson’s Disease by means of voice
and speech processing",68—Computer science,1,['Juan Ignacio Godino-Llorente'],0,[]
201,Mehmet Oguz  Mulayim,2020,Universidad Autónoma de Barcelona,Spain,Anytime Case-Based Reasoning in Large-Scale Temporal Case Bases,68—Computer science,1,['Josep-Lluis  Arcos'],0,[]
202,Pedro José  Muñoz Merino,2009,Universidad Carlos III de Madrid,Spain,Teoría de modelado del e-learning y aplicación a un sistema de pistas adaptativo en tutoría inteligente utilizando técnicas de web semántica,68—Computer science,1,['Carlos  Delgado Kloos'],0,[]
203,Víctor  Muñoz Solà,2011,Universitat de Girona,Spain,Robustness on resource allocation problems,68—Computer science,1,['Didac  Busquets'],0,[]
204,Javier  Murillo-Espinar,2010,Universitat de Girona,Spain,Egalitarian Behaviour in Multi-Unit Combinatorial Auctions,68—Computer science,2,"['Beatriz  Lopez-Ibañez', 'Didac  Busquets']",0,[]
205,Katherine Margaret Murphy,2008,Universidad Politécnica de Madrid,Spain,"Digital Signal Processing Techniques for Application in the Analysis of
Pathological Voice and Normophonic Singing Voice",68—Computer science,1,['Pedro  Gómez-Vilda'],0,[]
206,David F. Nettleton,2002,Universitat Politècnica de Catalunya,Spain,The Use of Complementary Techniques of Machine Learning to Discover Knowledge in Real Complex Domains,68—Computer science,2,"['Vicenc  Torra', 'Joan  Jacas']",0,[]
207,Juan Carlos Nieves,2008,Universitat Politècnica de Catalunya,Spain,Modeling Arguments and Uncertain Information. A Non-Monotonic Reasoning Approach,68—Computer science,2,"['Ulises  Cortés', 'Mauricio  Osorio']",4,"['Confalonieri, Roberto', 'Guerrero Rosero, Esteban', 'Kampik, Timotheus', 'Yan, Chunli']"
208,Jordi  Nin,2008,Universidad Autónoma de Barcelona,Spain,Contributions to Record Linkage for Disclosure Risk Assessment,68—Computer science,1,['Vicenc  Torra'],0,[]
209,Pablo  Noriega,1997,Universidad Autónoma de Barcelona,Spain,Agent Mediated Auctions: The Fishmarket Metaphor,68—Computer science,2,"['Ramon  Lopez de Mantaras', 'Carles  Sierra']",4,"['Criado, Natalia', 'Garcia Camino, Andres', 'Perello-Moragues, Antonio', 'Robles, Armando']"
210,Hector  Nunez,2004,Universitat Politècnica de Catalunya,Spain,Feature Weighting in Plain Case-Based Reasoning,68—Computer science,1,['Miquel  Sànchez-Marrè'],0,[]
211,Gustavo  Núñez,1991,Universitat Politècnica de Catalunya,Spain,Caracterización no Monótona de la Inferencia Inductiva y su Aplicación en el Aprendizaje Basado en Similitudes (SBL),68—Computer science,1,['Ulises  Cortés'],2,"['Alvarado, Matias', 'Soto de la Cruz, Ramon']"
212,Sergi  Oliva,2013,Universitat Politècnica de Catalunya,Spain,On the Complexity of Resolution-based Proof Systems,68—Computer science,1,['Albert  Atserias'],0,[]
213,J. A.  Olivas,2000,Universidad de Castilla - La Mancha,Spain,Predicción basada en categorías prototipicas borrosas deformables,68—Computer science,1,['Enric  Trillas'],0,[]
214,Santi  Ontanon,2005,Universidad Autónoma de Barcelona,Spain,Ensemble Case-Based Learning for Multi-Agent Systems,68—Computer science,1,['Enric  Plaza'],0,[]
215,Alberto  Ordóñez,2016,Universidade da Coruña,Spain,Statistical and Repetition-based Compressed Data Structures,68—Computer science,2,"['Gonzalo  Navarro', 'Nieves  Brisaboa']",0,[]
216,David  Orellana-Martín,2019,Universidad de Sevilla,Spain,The P versus NP problem. Development of new techniques through bio-inspired computing models,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Luis  Valencia-Cabrera']",0,[]
217,Javier  Orozco,2009,Universidad Autónoma de Barcelona,Spain,Human Emotion Understanding On Facial Image Sequences,68—Computer science,2,"['Jordi  Gonzàlez', 'Xavier  Roca']",0,[]
218,Victor  Osma-Ruiz,2010,Universidad Politécnica de Madrid,Spain,Contribución al procesado digital de imágenes para la caracterización de patologías laríngeas,68—Computer science,1,['Juan Ignacio Godino-Llorente'],0,[]
219,Simon  Oya,2019,Universidad de Vigo,Spain,A Statistical Approach to the Design of Privacy-Preserving Services,68—Computer science,2,"['Carmela  Troncoso', 'Fernando  Perez-Gonzalez']",0,[]
220,Tan H. Ozaslan,2013,Universitat Pompeu Fabra,Spain,Computational Analysis of Expressivity in Classical Guitar Performances,68—Computer science,1,['Josep-Lluis  Arcos'],0,[]
221,Montserrat Muntsa Padro Cirera,2008,Universitat Politècnica de Catalunya,Spain,Applying causal-state splitting reconstruction algorithm to natural language processing tasks,68—Computer science,1,['Lluís  Padró i Cirera'],0,[]
222,Héctor L. Palacios Verdes,2009,Universitat Pompeu Fabra,Spain,Translation-based approaches to Conformant Planning,68—Computer science,1,['Hector Alberto Geffner'],0,[]
223,Victor  Pascual,2010,Universitat Pompeu Fabra,Spain,Visual Exploration of Web Spaces,68—Computer science,2,"['Ricardo A. Baeza-Yates', 'Juan Carlos  Dursteler']",0,[]
224,Óscar  Pastor,1992,Universitat Politècnica de València,Spain,"Diseño y Desarrollo de un Entorno de Producción Automática de Software
basado en el Modelo Orientado a Objetos",68—Computer science,1,['Isidro  Ramos'],2,"['España, Sergio', 'Ruiz, Marcela']"
225,Carmen  Pellicer-Lostao,2012,Universidad de Zaragoza,Spain,"Criptosistemas caóticos: estudio, diseño y aplicaciones",68—Computer science,1,['Ricardo  López-Ruiz'],0,[]
226,David Alejandro Pelta,2002,Universidad de Granada,Spain,Algoritmos Heuristicos en Bioinformática,68—Computer science,2,"['Armando  Blanco', 'Jose Luis  Verdegay']",2,"['Garcia de Amo, Ignacio', 'Masegosa-Arredondo, Antonio']"
227,Antonio  Perello-Moragues,2020,Universidad Autónoma de Barcelona,Spain,A value-based approach to agent-based simulation for policy  assessment: an exploration in the water domain,68—Computer science,1,['Pablo  Noriega'],0,[]
228,Cristina  Pérez-Benito,2019,Universitat Politècnica de València,Spain,,68—Computer science,3,"['José Alberto  Conejero Casares', 'Cristina  Jordán', 'Samuel  Morillas']",0,[]
229,Francisco Javier  Pérez-Benito,2020,Universitat Politècnica de València,Spain,Healthcare data heterogeneity and its contribution to machine learning performance,68—Computer science,2,"['José Alberto  Conejero Casares', 'Juan Miguel  García Gómez']",0,[]
230,Alejandra  Perez Bonilla,2010,Universitat Politècnica de Catalunya,Spain,Metodologia de caracterizacion conceptual por condicionamentos sucesivos: Una aplicacion a sistemas medioambientales,68—Computer science,1,['Karina  Gibert'],0,[]
231,Ignacio  Pérez Hurtado,2010,Universidad de Sevilla,Spain,Desarrollo y aplicaciones de un entorno de programación para Computación Celular: P-Lingua,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Agustín  Riscos-Núñez']",1,"['Martínez del Amor, Miguel Ángel']"
232,Ana Belen  Petro,2006,Universidad de las Islas Baleares,Spain,Analytical methods for the study of color in digital images,68—Computer science,3,"['Jean-Michel  Morel', 'Tomeu  Coll', 'Jose-Luis  Lisani']",0,[]
233,Ander  Pijoan Lamas,2018,Universidad de Deusto,Spain,"GeoWorldSim: A time-asynchronous, distributed and intelligent environment based Geosimulation platform",68—Computer science,2,"['Cruz Enrique  Borges Hernández', 'Ainhoa  Alonso Vicario']",0,[]
234,Isaac  Pinyol,2010,Universitat Politècnica de Catalunya,Spain,"Milking the reputation cow: Argumentation, Reasoning and Cognitive Agents",68—Computer science,1,['Jordi  Sabater-Mir'],0,[]
235,Jordi  Planes,2007,Universitat de Lleida,Spain,Design and Implementation of Exact MAX-SAT Solvers,68—Computer science,2,"['Felip  Manyà', 'Chu Min Li']",0,[]
236,Enric  Plaza,1987,Universitat Politècnica de Catalunya,Spain,EAR: A System to Assist the Explicitation and Structuring of Knowledge,68—Computer science,1,['Ramon  Lopez de Mantaras'],9,"['Arcos, Josep-Lluis', 'Armengol, Eva', 'Baccigalupo, Claudio', 'Ferrer, Xavier', 'Gomez, Mario', 'Lopez-Ibañez, Beatriz', 'Martin, Francisco', 'Ontanon, Santi', 'Subirats, Laia']"
237,Barbara  Poblete,2009,Universitat Pompeu Fabra,Spain,Query Based Data Mining for the Web,68—Computer science,2,"['Ricardo A. Baeza-Yates', 'Myra  Spiliopoulou']",0,[]
238,Ana  Pradera,1999,Universidad Politécnica de Madrid,Spain,Contribución al estudio de la agregación de información en un entorno borroso,68—Computer science,1,['Enric  Trillas'],0,[]
239,Josep-Maria  Pujol,2006,Universitat Politècnica de Catalunya,Spain,Structure in Artificial Societies,68—Computer science,2,"['Ramon  Sanguesa', 'Jordi  Delgado']",0,[]
240,Edith  Pulido Herrera,2009,Universitat Jaume I de Castellón,Spain,Improving Data Fusion in User Positioning Systems,68—Computer science,3,"['Ricardo  Quiros Bauset', 'German  Fabregat', 'Hannes  Kaufmann']",0,[]
241,Gonzalo  Ramos,2001,Universidad de Málaga,Spain,Nuevos desarrollos en aprendizaje inductivo,68—Computer science,1,['Rafael  Morales-Bueno'],1,"['del-Campo, José']"
242,J.Guadalupe  Ramos,2007,Universitat Politècnica de València,Spain,Una aproximación offline a la evaluación parcial dirigida por narrowing,68—Computer science,1,['German  Vidal'],0,[]
243,Maria  Rauschenberger,2019,Universitat Pompeu Fabra,Spain,Early screening of dyslexia using a language-independent content game and machine learning,68—Computer science,2,"['Ricardo A. Baeza-Yates', 'Luz  Rello']",0,[]
244,Francis  Real,2016,Universitat Rovira i Virgili,Spain,Use of Decision Tables to Model Assistance Knowledge to Train Medical Residents,68—Computer science,1,['David  Riano'],0,[]
245,Ignacio  Requena Ramos,1992,Universidad de Granada,Spain,"Redes Neuronales para Problemas de Decisión en Ambiente Difuso (Neural
Networks to Decision Problems with Fuzzy Information)",68—Computer science,2,"['Miguel  Delgado Calvo-Flores', 'Jose Luis  Verdegay']",1,"['Benítez Sánchez, José Manuel']"
246,Ignacio  Requena-Ramos,1992,Universidad de Granada,Spain,Redes Neuronales en Problemas  de  Decision  con  Ambiente  Difuso,68—Computer science,2,"['Miguel  Delgado Calvo-Flores', 'Jose Luis  Verdegay']",0,[]
247,Guillermo  Reyes Pozo,2000,Universitat Politècnica de Catalunya,Spain,Técnicas de diseño geométrico asistido por ordenador para mecanismos leva-palpador,68—Computer science,1,['Javier  Sánchez-Reyes'],0,[]
248,David  Riano,1997,Universitat Politècnica de Catalunya,Spain,Automatic Construction of Descriptive Rules,68—Computer science,1,['Ulises  Cortés'],5,"['Bohada, John', 'Kamisalic, Aida', 'López-Vallverdú, Joan Albert', 'Real, Francis', 'Sayed, Mohammed']"
249,Agustín  Riscos-Núñez,2004,Universidad de Sevilla,Spain,Programación Celular: Resolución Eficiente de Problemas Numéricos NP-completos,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Miguel A.  Gutiérrez-Naranjo']",3,"['Cámpora-Pérez, Daniel Hugo', 'Pérez Hurtado, Ignacio', 'Valencia-Cabrera, Luis']"
250,Eugenio  Roanes Lozano,1991,Universidad de Sevilla,Spain,Ramificación en k-álgebras y teoremas de ascenso y descenso,13—Commutative rings and algebras,1,['Eugenio  Roanes-Macías'],1,"['Maestre Martínez, Roberto']"
251,Jorge  Rodas,2003,Universitat Politècnica de Catalunya,Spain,Knowledge Discovery in Repeated and Very Short Serial Measures with a Blocking Factor,68—Computer science,2,"['Karina  Gibert', 'Emili  Rojo']",2,"['Olmos, Karla', 'Tamayo, Genaro']"
252,Luis  Rodero Merino,2007,Universidad Rey Juan Carlos,Spain,Self-Adaptation Mechanisms for Efficient Resource Location in Peer-to-Peer Systems,68—Computer science,2,"['Antonio  Fernández Anta', 'Luis  López Fernández']",0,[]
253,Juan-Antonio  Rodriguez-Aguilar,2001,Universidad Autónoma de Barcelona,Spain,Towards a Test-Bed for Trading Agents in Electronic Auction Markets,68—Computer science,1,['Carles  Sierra'],9,"['Andrejczuk, Ewa', 'Garcia Camino, Andres', 'Giovanucci, Andrea', 'Morales, Javier', 'Penya-Alba, Toni', 'Pujol, Marc', 'Salas-Molina, Francisco', 'Valencia, Gabriel', 'Vinyals, Meritxell']"
254,Antonio  Rodríguez Goñi,2011,Universidad Politécnica de Madrid,Spain,Diseño Programable: Desarrollo de una metodología de parametrización sistemática de formas de buques definidas mediante un modelo mixto de curvas y superficies,68—Computer science,1,['Leonardo  Fernández-Jambrina'],0,[]
255,Horacio  Rodríguez Hontoria,1990,Universitat Politècnica de Catalunya,Spain,Guai: un generador automático de interfaces en lengua natural,68—Computer science,1,['Maria Felisa Verdejo Maillo'],2,"['Latifi, Majid', 'Padró i Cirera, Lluís']"
256,Jose Antonio Rodriguez Mondejar,2000,Universidad Pontificia Comillas,Spain,Metodología para la implantación de funciones lentas multivariable sobre arquitecturas Hardware/Software mediante técnicas de aproximación por trozos.,68—Computer science,2,"['Fernando  Cuadra', 'Octavio  Nieto-Taladriz']",0,[]
257,Gustavo  Rodriguez Silva,2010,Universitat Politècnica de Catalunya,Spain,Metodologia de identificacion e interpretacion de perfiles dinamicos,68—Computer science,1,['Karina  Gibert'],0,[]
258,Emili  Rojo,1993,Universidad de Barcelona,Spain,Aplicacion del Software LINNEO a la Clasificacion de Transtornos Mentales,68—Computer science,2,"['Ulises  Cortés', 'Ricard  Pons I Bartràn']",3,"['Martín Lopez, Luis', 'Pino López, Oscar', 'Rodas, Jorge']"
259,Emma  Rollon,2008,Universitat Politècnica de Catalunya,Spain,Multi-Objective Optimization for Graphical Models,68—Computer science,1,['Javier  Larrosa'],0,[]
260,Daniel Omar Romero,2011,Universitat Politècnica de València,Spain,Rewriting-based Verification and Debugging of Web Systems,68—Computer science,2,"['María  Alpuente', 'Demis  Ballis']",0,[]
261,Álvaro  Romero-Jiménez,2003,Universidad de Sevilla,Spain,Complejidad y Universalidad en Modelos de Computación Celular,68—Computer science,1,['Mario Jesús Pérez-Jiménez'],1,"['Díaz Pernil, Daniel']"
