,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
310,Vicenc  Torra,1994,Universitat Politècnica de Catalunya,Spain,Contribucio a l'Estudi de Funcions de Sintesi per a la Intelligencia Artificial,68—Computer science,2,"['Ulises  Cortés', 'Claudi  Alsina i Català']",6,"['Abril, Daniel', 'Casas, Jordi', 'Mares, Jordi', 'Nettleton, David', 'Nin, Jordi', 'Valls, Aida']"
311,Tomas  Trescak,2012,Universidad Autónoma de Barcelona,Spain,Intelligent Generation and Control of Interactive Virtual Worlds,68—Computer science,3,"['Marc  Esteva', 'Inmaculada  Rodriguez', 'Anton  Bogdanovych']",0,[]
312,José-Luis  Triviño,2002,Universidad de Málaga,Spain,Un nuevo modelo de aprendizaje para el estudio de secuencias de símbolos,68—Computer science,1,['Rafael  Morales-Bueno'],0,[]
313,Agustin  Trujillo,2004,Universidad de Las Palmas de Gran Canaria,Spain,"Localización de contornos con precisión sub-pixel en imágenes
bidimensionales y tridimensionales.",68—Computer science,1,['Luis  Álvarez'],1,"['Santana Núñez, José Miguel']"
314,Rolando  Trujillo-Rasua,2012,Universitat Rovira i Virgili,Spain,Privacy in RFID and mobile objects,68—Computer science,2,"['Agusti  Solanas', 'Josep  Domingo-Ferrer']",0,[]
315,Cristina  Urdiales,1999,Universidad de Málaga,Spain,Arquitectura de Control de Movimiento y Exploración para un Agente Autónomo Móvil (ACME),68—Computer science,1,['Francisco  Sandoval'],5,"['Ballesteros, Joaquin', 'de Trazegnies, Carmen', 'Fernández Carmona, Manuel', 'Perez, Eduardo', 'Valencia, Gabriel']"
316,Gabriel  Valencia,2003,Universidad de Málaga,Spain,Extracción jerárquica de regiones de una secuencia de video,68—Computer science,2,"['Cristina  Urdiales', 'Juan-Antonio  Rodriguez-Aguilar']",0,[]
317,Luis  Valencia-Cabrera,2015,Universidad de Sevilla,Spain,An environment for virtual experimentation with computational models based on P systems,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Agustín  Riscos-Núñez']",2,"['Macías-Ramos, Luis', 'Orellana-Martín, David']"
318,David  Valencia-Corrales,2010,Universidad de Extremadura,Spain,Estudio de patrones de computación y comunicación en algoritmos paralelos de tratamiento de imágenes multidimensionales sobre arquitecturas heterogéneas,68—Computer science,1,['Antonio  Plaza-Miguel'],0,[]
319,Aida  Valls,2002,Universitat Politècnica de Catalunya,Spain,ClusDM: A Multiple Criteria Decision Making Method for Heterogeneous Data Sets,68—Computer science,1,['Vicenc  Torra'],3,"['Batet, Montserrat', 'Borràs, Joan', 'Martínez-Lluís, Sergio']"
320,Agustin  Valverde Ramos,1998,Universidad de Málaga,Spain,Delta-Trees of Implicants and Implicates and Reductions of Signed Logics in ATPs,68—Computer science,2,"['Inmaculada  Pérez de Guzmán', 'Manuel  Ojeda-Aciego']",1,"['Medina Moreno, Jesús']"
321,Javier  Vazquez-Salceda,2003,Universitat Politècnica de Catalunya,Spain,The Role of Norms and Electronic Institutions in Multi-Agent Systems Applied to Complex Domains: The HARMONIA Framework,68—Computer science,1,['Ulises  Cortés'],3,"['Alvarez-Napagao, Sergio', 'Confalonieri, Roberto', 'Panagiotidi, Sofia']"
322,Oswaldo  Velez-langs,2011,Universidad Politécnica de Madrid,Spain,Propuesta de Adaptación de las Interfaces de Usuario Mediante la Computación Evolutiva,68—Computer science,1,['Angelica  de Antonio'],0,[]
323,Edmundo  Vergara-Moreno,1999,Universidad de Granada,Spain,Nuevos Criterios de Parada en Algoritmos de Optimización,68—Computer science,1,['Jose Luis  Verdegay'],0,[]
324,Carlos  Vicient,2015,Universitat Rovira i Virgili,Spain,Moving towards the Semantic Web - Enabling new technologies through the semantic annotation of social contents,68—Computer science,1,['Antonio  Moreno'],0,[]
325,German  Vidal,1996,Universitat Politècnica de València,Spain,Semantics-Based Analysis and Transformation of Functional Logic Programs,68—Computer science,1,['María  Alpuente'],4,"['Albert, Elvira', 'Moreno, Ginés', 'Ramos, J.Guadalupe', 'Silva, Josep']"
326,Alexandre  Viejo,2008,Universitat Rovira i Virgili,Spain,Security and Privacy Issues in some Special-Purpose Networks,68—Computer science,2,"['Francesc  Sebé Feixas', 'Josep  Domingo-Ferrer']",3,"['Imran Daud, Malik', 'Jardí-Cedó, Roger', 'Romero-Tris, Cristina']"
327,Lluis  Vila,1994,Universitat Politècnica de Catalunya,Spain,On Temporal Representation and Reasoning in Knowledge-Based Systems,68—Computer science,1,['Carles  Sierra'],0,[]
328,Alicia  Villanueva,2003,Universitat Politècnica de València,Spain,Model Checking for the Concurrent Constraint Paradigm,68—Computer science,2,"['María  Alpuente', 'Moreno  Falaschi']",1,"['Feliú Gabaldón, Marco']"
329,Mateu  Villaret,2004,Universitat Politècnica de Catalunya,Spain,On Some Variants of Second-Order Unification,68—Computer science,1,['Jordi  Levy'],0,[]
330,Daniel  Villatoro,2011,Universidad de Barcelona,Spain,Social Norms for Self-policing Multi-agent Systems and Virtual Societies,68—Computer science,1,['Jordi  Sabater-Mir'],0,[]
331,Meritxell  Vinyals,2011,Universidad Autónoma de Barcelona,Spain,Exploiting the Structure of Distributed Costraint Optimization Problems to Assess and Bound Coordination Actions in Multi-Agent Systems,68—Computer science,2,"['Juan-Antonio  Rodriguez-Aguilar', 'Jesus  Cerquides']",0,[]
332,Lei  Zhang,2010,Universitat Rovira i Virgili,Spain,Research on Security and Privacy in Vehicular Ad Hoc Networks,68—Computer science,2,"['Josep  Domingo-Ferrer', 'Qianhong  Wu']",0,[]
333,Urko  Zurutuza,2007,Mondragon Unibertsitatea,Spain,Data Mining Approaches for Analysis of Worm Activity Towards Automatic Signature Generation,68—Computer science,2,"['Diego Martin Zamboni', 'Roberto  Uribeetxeberria']",8,"['Ezpeleta, Enaitz', 'Fernandez-Anakabe, Javier', 'Garitano, Iñaki', 'Iturbe, Mikel', 'Izagirre, Unai', 'Lecuona, Inigo', 'Serradilla, Oscar', 'Somarriba, Oscar']"
